"DATE" "TAVG"
"1" "1947-01" 3.05
"2" "1947-02" 5.12
"3" "1947-03" 10.5
"4" "1947-04" 13.36
"5" "1947-05" 15.9
"6" "1947-06" 20.15
"7" "1947-07" 23.01
"8" "1947-08" 23.68
"9" "1947-09" 19.55
"10" "1947-10" 14.56
"11" "1947-11" 9.72
"12" "1947-12" 5.02
"13" "1948-01" 7.19
"14" "1948-02" 6.6
"15" "1948-03" 11.4
"16" "1948-04" 12.3
"17" "1948-05" 15.33
"18" "1948-06" 17.63
"19" "1948-07" 19.63
"20" "1948-08" 21.17
"21" "1948-09" 18.16
"22" "1948-10" 14.12
"23" "1948-11" 9.69
"24" "1948-12" 7.21
"25" "1949-01" 5.68
"26" "1949-02" 7.21
"27" "1949-03" 8.13
"28" "1949-04" 14.64
"29" "1949-05" 13.32
"30" "1949-06" 19.44
"31" "1949-07" 23.78
"32" "1949-08" 23.09
"33" "1949-09" 21.63
"34" "1949-10" 15.06
"35" "1949-11" 8.47
"36" "1949-12" 6.22
"37" "1950-01" 4.53
"38" "1950-02" 8.22
"39" "1950-03" 8.23
"40" "1950-04" 9.9
"41" "1950-05" 15.26
"42" "1950-06" 21.02
"43" "1950-07" 23.61
"44" "1950-08" 21.6
"45" "1950-09" 17.54
"46" "1950-10" 14.33
"47" "1950-11" 10.08
"48" "1950-12" 3.42
"49" "1951-01" 5.86
"50" "1951-02" 6.46
"51" "1951-03" 8.1
"52" "1951-04" 11.02
"53" "1951-05" 12.77
"54" "1951-06" 17.89
"55" "1951-07" 20.29
"56" "1951-08" 19.08
"57" "1951-09" 18.71
"58" "1951-10" 11.76
"59" "1951-11" 9.98
"60" "1951-12" 6.87
"61" "1952-01" 3.87
"62" "1952-02" 4.64
"63" "1952-03" 11.23
"64" "1952-04" 12.52
"65" "1952-05" 16.45
"66" "1952-06" 20.95
"67" "1952-07" 22.2
"68" "1952-08" 22.13
"69" "1952-09" 16.06
"70" "1952-10" 14.08
"71" "1952-11" 8.16
"72" "1952-12" 5.9
"73" "1953-01" 0.95
"74" "1953-02" 3.86
"75" "1953-03" 9.06
"76" "1953-04" 11.95
"77" "1953-05" 16.65
"78" "1953-06" 16.7
"79" "1953-07" 19.89
"80" "1953-08" 21.77
"81" "1953-09" 18.58
"82" "1953-10" 13.69
"83" "1953-11" 9.01
"84" "1953-12" 9.96
"85" "1954-01" 3.09
"86" "1954-02" 3.77
"87" "1954-03" 9.02
"88" "1954-04" 9.59
"89" "1954-05" 13.44
"90" "1954-06" 17.62
"91" "1954-07" 18.25
"92" "1954-08" 19.28
"93" "1954-09" 17.28
"94" "1954-10" 13.77
"95" "1954-11" 9.88
"96" "1954-12" 6.75
"97" "1955-01" 8.89
"98" "1955-02" 6.23
"99" "1955-03" 7.15
"100" "1955-04" 12.18
"101" "1955-05" 15.46
"102" "1955-06" 18.92
"103" "1955-07" 21.86
"104" "1955-08" 21.89
"105" "1955-09" 17.77
"106" "1955-10" 12.04
"107" "1955-11" 7.4
"108" "1955-12" 8.1
"109" "1956-01" 5.85
"110" "1956-02" -3.21
"111" "1956-03" 9.49
"112" "1956-04" 10.38
"113" "1956-05" 15.43
"114" "1956-06" 16.27
"115" "1956-07" 19.75
"116" "1956-08" 19.31
"117" "1956-09" 19.13
"118" "1956-10" 12.64
"119" "1956-11" 5.97
"120" "1956-12" 6.19
"121" "1957-01" 3.57
"122" "1957-02" 8.89
"123" "1957-03" 11.73
"124" "1957-04" 10.69
"125" "1957-05" 13.44
"126" "1957-06" 17.74
"127" "1957-07" 20.34
"128" "1957-08" 19.59
"129" "1957-09" 17.15
"130" "1957-10" 13.11
"131" "1957-11" 7.05
"132" "1957-12" 4.55
"133" "1958-01" 5.31
"134" "1958-02" 7.94
"135" "1958-03" 8.47
"136" "1958-04" 9.86
"137" "1958-05" 15.66
"138" "1958-06" 17.83
"139" "1958-07" 20
"140" "1958-08" 20.73
"141" "1958-09" 21.13
"142" "1958-10" 12.79
"143" "1958-11" 8.02
"144" "1958-12" 7.01
"145" "1959-01" 4.95
"146" "1959-02" 6.56
"147" "1959-03" 10.61
"148" "1959-04" 11.67
"149" "1959-05" 15.14
"150" "1959-06" 18.62
"151" "1959-07" 21.86
"152" "1959-08" 20.19
"153" "1959-09" 18.93
"154" "1959-10" 13.86
"155" "1959-11" 8.3
"156" "1959-12" 7.1
"157" "1960-01" 4.71
"158" "1960-02" 6.84
"159" "1960-03" 10.42
"160" "1960-04" 10.7
"161" "1960-05" 16.54
"162" "1960-06" 20.05
"163" "1960-07" 19.36
"164" "1960-08" 19.57
"165" "1960-09" 16.39
"166" "1960-10" 12.39
"167" "1960-11" 9.52
"168" "1960-12" 3.92
"169" "1961-01" 4.92
"170" "1961-02" 9.55
"171" "1961-03" 9.48
"172" "1961-04" 13.66
"173" "1961-05" 15.02
"174" "1961-06" 18.96
"175" "1961-07" 20.6
"176" "1961-08" 19.46
"177" "1961-09" 21.21
"178" "1961-10" 14.75
"179" "1961-11" 8.41
"180" "1961-12" 6.98
"181" "1962-01" 6.48
"182" "1962-02" 5.21
"183" "1962-03" 6.58
"184" "1962-04" 10.56
"185" "1962-05" 13.88
"186" "1962-06" 17.56
"187" "1962-07" 20.59
"188" "1962-08" 21.33
"189" "1962-09" 19.08
"190" "1962-10" 15.14
"191" "1962-11" 6.74
"192" "1962-12" 3.77
"193" "1963-01" 2.57
"194" "1963-02" 2.69
"195" "1963-03" 9.31
"196" "1963-04" 11.37
"197" "1963-05" 13.74
"198" "1963-06" 18.1
